operator,directory,total_tests,passed_tests,failed_tests,correctness_rate,avg_speedup,geomean_speedup,avg_benchmark_time,mean_absolute_error,mean_relative_error,max_relative_error,max_absolute_error
deg2rad.default,deg2rad,1,1,0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0
div.Tensor,div,18,18,0,1.0,0.0,0.0,,nan,nan,0.0,0.0
div.Tensor_mode,div,18,18,0,1.0,0.0,0.0,,nan,nan,0.0,0.0
equal.default,equal,6,6,0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0
exp.default,exp,3,3,0,1.0,0.0,0.0,,nan,nan,0.0,0.0
expand_copy.default,expand_copy,9,9,0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0
diag_embed.default,diag_embed,13,13,0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0
diagonal_copy.default,diagonal_copy,24,24,0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0
diagonal.default,diagonal,12,12,0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0
diagonal_scatter.default,diagonal_scatter,15,15,0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0
alias_copy.default,alias_copy,2,2,0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0
eq.Tensor,eq,10,10,0,1.0,0.0,0.0,,nan,nan,0.0,0.0
fmax.default,fmax,9,9,0,1.0,0.0,0.0,,nan,nan,0.0,0.0
fmin.default,fmin,9,9,0,1.0,0.0,0.0,,nan,nan,0.0,0.0
fmod.Tensor,fmod,9,9,0,1.0,0.0,0.0,,nan,nan,0.0,0.0
remainder.Tensor,remainder,10,10,0,1.0,0.0,0.0,,nan,nan,0.0,0.0
frac.default,frac,1,1,0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0
floor.default,floor,1,1,0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0
flip.default,flip,10,10,0,1.0,0.0,0.0,,nan,nan,0.0,0.0
i0.default,i0,2,2,0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0
floor_divide.default,floor_divide,9,9,0,1.0,0.0,0.0,,nan,nan,0.0,0.0
frexp.Tensor,frexp,3,3,0,1.0,0.0,0.0,,nan,nan,0.0,0.0
log1p.default,log1p,1,1,0,1.0,0.0,0.0,,nan,nan,nan,nan
ge.Tensor,ge,9,9,0,1.0,0.0,0.0,,nan,nan,0.0,0.0
gt.Tensor,gt,9,9,0,1.0,0.0,0.0,,nan,nan,0.0,0.0
isin.Tensor_Tensor,isin,2,2,0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0
kthvalue.default,kthvalue,10,10,0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0
le.Tensor,le,9,9,0,1.0,0.0,0.0,,nan,nan,0.0,0.0
linspace.default,linspace,63,63,0,1.0,0.0,0.0,,nan,nan,nan,nan
linspace.Tensor_Tensor,linspace,6,6,0,1.0,0.0,0.0,,nan,nan,nan,nan
linspace.Tensor_Scalar,linspace,30,30,0,1.0,0.0,0.0,,nan,nan,nan,nan
linspace.Scalar_Tensor,linspace,12,12,0,1.0,0.0,0.0,,nan,nan,nan,nan
logspace.default,logspace,402,402,0,1.0,0.0,0.0,,nan,nan,nan,nan
logspace.Tensor_Tensor,logspace,80,80,0,1.0,0.0,0.0,,nan,nan,nan,nan
logspace.Tensor_Scalar,logspace,200,200,0,1.0,0.0,0.0,,nan,nan,nan,nan
logspace.Scalar_Tensor,logspace,160,160,0,1.0,0.0,0.0,,nan,nan,nan,nan
log.default,log,3,3,0,1.0,0.0,0.0,,nan,nan,0.0,0.0
log10.default,log10,3,3,0,1.0,0.0,0.0,,nan,nan,0.0,0.0
log2.default,log2,3,3,0,1.0,0.0,0.0,,nan,nan,0.0,0.0
logaddexp.default,logaddexp,9,9,0,1.0,0.0,0.0,,nan,nan,0.0,0.0
logaddexp2.default,logaddexp2,1,1,0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0
logical_not.default,logical_not,3,3,0,1.0,0.0,0.0,,nan,nan,0.0,0.0
lt.Tensor,lt,9,9,0,1.0,0.0,0.0,,nan,nan,0.0,0.0
masked_fill.Scalar,masked_fill,5,5,0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0
masked_fill.Tensor,masked_fill,3,3,0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0
masked_scatter.default,masked_scatter,4,4,0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0
masked_select.default,masked_select,7,7,0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0
linalg_matrix_exp.default,linalg_matrix_exp,2,2,0,1.0,0.0,0.0,,nan,nan,nan,nan
mm.default,mm,5,5,0,1.0,0.0,0.0,,nan,nan,0.0,0.0
max.dim,max,4,4,0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0
max.default,max,2,2,0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0
median.default,median,4,4,0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0
median.dim,median,9,9,0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0
nanmedian.default,nanmedian,4,4,0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0
nanmedian.dim,nanmedian,9,9,0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0
var_mean.correction,var_mean,8,8,0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0
std_mean.correction,std_mean,8,8,0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0
min.dim,min,4,4,0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0
min.default,min,2,2,0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0
maximum.default,maximum,18,18,0,1.0,0.0,0.0,,nan,nan,0.0,0.0
minimum.default,minimum,18,18,0,1.0,0.0,0.0,,nan,nan,0.0,0.0
logical_and.default,logical_and,9,9,0,1.0,0.0,0.0,,nan,nan,0.0,0.0
logical_or.default,logical_or,9,9,0,1.0,0.0,0.0,,nan,nan,0.0,0.0
logical_xor.default,logical_xor,9,9,0,1.0,0.0,0.0,,nan,nan,0.0,0.0
heaviside.default,heaviside,9,9,0,1.0,0.0,0.0,,nan,nan,0.0,0.0
_softmax_backward_data.default,_softmax_backward_data,3,3,0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0
aminmax.default,aminmax,7,7,0,1.0,0.0,0.0,,nan,nan,0.0,0.0
as_strided.default,as_strided,8,8,0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0
as_strided_copy.default,as_strided_copy,5,5,0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0
as_strided_scatter.default,as_strided_scatter,7,7,0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0
native_layer_norm.default,native_layer_norm,20,20,0,1.0,0.0,0.0,,nan,nan,0.0,0.0
native_batch_norm.default,native_batch_norm,8,8,0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0
_native_batch_norm_legit.default,_native_batch_norm_legit,7,7,0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0
_native_batch_norm_legit.no_stats,_native_batch_norm_legit,1,1,0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0
_batch_norm_with_update.default,_batch_norm_with_update,5,5,0,1.0,0.0,0.0,,nan,nan,nan,nan
_adaptive_avg_pool2d.default,_adaptive_avg_pool2d,2,2,0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0
_adaptive_avg_pool3d.default,_adaptive_avg_pool3d,2,2,0,1.0,0.0,0.0,,nan,nan,nan,nan
avg_pool3d.default,avg_pool3d,8,8,0,1.0,0.0,0.0,,nan,nan,0.0,0.0
binary_cross_entropy_with_logits.default,binary_cross_entropy_with_logits,5,5,0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0
relu.default,relu,4,4,0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0
constant_pad_nd.default,constant_pad_nd,50,50,0,1.0,0.0,0.0,,nan,nan,0.0,0.0
hardswish.default,hardswish,1,1,0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0
im2col.default,im2col,162,162,0,1.0,0.0,0.0,,nan,nan,nan,nan
_upsample_bilinear2d_aa.default,_upsample_bilinear2d_aa,3,3,0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0
soft_margin_loss.default,soft_margin_loss,3,3,0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0
multi_margin_loss.default,multi_margin_loss,7,7,0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0
leaky_relu.default,leaky_relu,1,1,0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0
avg_pool2d.default,avg_pool2d,7,7,0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0
glu.default,glu,46,46,0,1.0,0.0,0.0,,nan,nan,0.0,0.0
elu.default,elu,4,4,0,1.0,0.0,0.0,,nan,nan,0.0,0.0
_prelu_kernel.default,_prelu_kernel,3,3,0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0
celu.default,celu,3,3,0,1.0,0.0,0.0,,nan,nan,0.0,0.0
silu.default,silu,3,3,0,1.0,0.0,0.0,,nan,nan,0.0,0.0
hardsigmoid.default,hardsigmoid,3,3,0,1.0,0.0,0.0,,nan,nan,0.0,0.0
mish.default,mish,3,3,0,1.0,0.0,0.0,,nan,nan,0.0,0.0
threshold.default,threshold,4,4,0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0
nextafter.default,nextafter,9,9,0,1.0,0.0,0.0,,nan,nan,0.0,0.0
topk.default,topk,14,14,0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0
binary_cross_entropy.default,binary_cross_entropy,5,5,0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0
softshrink.default,softshrink,5,5,0,1.0,0.0,0.0,,nan,nan,0.0,0.0
hardshrink.default,hardshrink,6,6,0,1.0,0.0,0.0,,nan,nan,0.0,0.0
hardtanh.default,hardtanh,6,6,0,1.0,0.0,0.0,,nan,nan,0.0,0.0
gelu.default,gelu,2,2,0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0
mode.default,mode,7,7,0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0
mvlgamma.default,mvlgamma,30,30,0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0
ne.Tensor,ne,9,9,0,1.0,0.0,0.0,,nan,nan,0.0,0.0
slice.Tensor,slice,6,6,0,1.0,0.0,0.0,,nan,nan,nan,nan
narrow_copy.default,narrow_copy,5,5,0,1.0,0.0,0.0,,nan,nan,0.0,0.0
view_copy.default,view_copy,7,7,0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0
neg.default,neg,1,1,0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0
dist.default,dist,50,50,0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0
permute.default,permute,4,4,0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0
permute_copy.default,permute_copy,4,4,0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0
pow.Tensor_Tensor,pow,10,10,0,1.0,0.0,0.0,,nan,nan,0.0,0.0
rad2deg.default,rad2deg,1,1,0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0
roll.default,roll,2,2,0,1.0,0.0,0.0,,nan,nan,nan,nan
rot90.default,rot90,34,34,0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0
round.default,round,1,1,0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0
round.decimals,round,9,9,0,1.0,0.0,0.0,,nan,nan,0.0,0.0
sin.default,sin,1,1,0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0
sinc.default,sinc,3,3,0,1.0,0.0,0.0,,nan,nan,0.0,0.0
sinh.default,sinh,1,1,0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0
sign.default,sign,1,1,0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0
sgn.default,sgn,1,1,0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0
split.Tensor,split,2,2,0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0
split_with_sizes.default,split_with_sizes,7,7,0,1.0,0.0,0.0,,nan,nan,0.0,0.0
unsafe_split.Tensor,unsafe_split,2,2,0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0
split_with_sizes_copy.default,split_with_sizes_copy,4,4,0,1.0,0.0,0.0,,nan,nan,0.0,0.0
rsub.Tensor,rsub,20,20,0,1.0,0.0,0.0,,nan,nan,0.0,0.0
select.int,select,5,5,0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0
select_scatter.default,select_scatter,5,5,0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0
slice_scatter.default,slice_scatter,9,9,0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0
signbit.default,signbit,1,1,0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0
tan.default,tan,1,1,0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0
tanh.default,tanh,1,1,0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0
trunc.default,trunc,1,1,0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0
exp2.default,exp2,3,3,0,1.0,0.0,0.0,,nan,nan,0.0,0.0
expm1.default,expm1,1,1,0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0
nan_to_num.default,nan_to_num,3,3,0,1.0,0.0,0.0,,nan,nan,0.0,0.0
reciprocal.default,reciprocal,3,3,0,1.0,0.0,0.0,,nan,nan,0.0,0.0
rsqrt.default,rsqrt,3,3,0,1.0,0.0,0.0,,nan,nan,0.0,0.0
sqrt.default,sqrt,1,1,0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0
lerp.Scalar,lerp,7,7,0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0
lerp.Tensor,lerp,7,7,0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0
isinf.default,isinf,1,1,0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0
isposinf.default,isposinf,1,1,0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0
isneginf.default,isneginf,1,1,0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0
isnan.default,isnan,1,1,0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0
view.default,view,14,14,0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0
gather.default,gather,6,6,0,1.0,0.0,0.0,,nan,nan,0.0,0.0
index_fill.int_Scalar,index_fill,3,3,0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0
index_fill.int_Tensor,index_fill,3,3,0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0
index_copy.default,index_copy,3,3,0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0
index_select.default,index_select,3,3,0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0
index_add.default,index_add,9,9,0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0
index_reduce.default,index_reduce,32,32,0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0
_unsafe_masked_index.default,_unsafe_masked_index,3,3,0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0
_unsafe_masked_index_put_accumulate.default,_unsafe_masked_index_put_accumulate,3,3,0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0
index_put.default,index_put,4,4,0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0
sort.default,sort,19,19,0,1.0,0.0,0.0,,nan,nan,0.0,0.0
sort.stable,sort,3,3,0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0
unique_dim.default,unique_dim,34,34,0,1.0,0.0,0.0,,nan,nan,0.0,0.0
unique_consecutive.default,unique_consecutive,22,22,0,1.0,0.0,0.0,,nan,nan,0.0,0.0
put.default,put,26,26,0,1.0,0.0,0.0,,nan,nan,0.0,0.0
take.default,take,9,9,0,1.0,0.0,0.0,,nan,nan,0.0,0.0
scatter.src,scatter,7,7,0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0
scatter.reduce,scatter,14,14,0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0
scatter.value,scatter,1,1,0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0
scatter.value_reduce,scatter,2,2,0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0
_to_copy.default,_to_copy,1,1,0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0
empty_like.default,empty_like,3,3,0,1.0,0.0,0.0,,nan,nan,0.0,0.0
zeros_like.default,zeros_like,8,8,0,1.0,0.0,0.0,,nan,nan,0.0,0.0
ones_like.default,ones_like,8,8,0,1.0,0.0,0.0,,nan,nan,0.0,0.0
randn_like.default,randn_like,2,2,0,1.0,0.0,0.0,,nan,nan,nan,nan
randint.default,randint,1,1,0,1.0,0.0,0.0,,nan,nan,nan,nan
randint.low,randint,1,1,0,1.0,0.0,0.0,,nan,nan,nan,nan
randint_like.default,randint_like,1,1,0,1.0,0.0,0.0,,nan,nan,nan,nan
randint_like.low_dtype,randint_like,1,1,0,1.0,0.0,0.0,,nan,nan,nan,nan
full_like.default,full_like,8,8,0,1.0,0.0,0.0,,nan,nan,0.0,0.0
new_zeros.default,new_zeros,8,8,0,1.0,0.0,0.0,,nan,nan,0.0,0.0
new_ones.default,new_ones,8,8,0,1.0,0.0,0.0,,nan,nan,0.0,0.0
ones.default,ones,2,2,0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0
zeros.default,zeros,2,2,0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0
full.default,full,4,4,0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0
new_empty.default,new_empty,4,2,2,0.5,0.0,0.0,,nan,nan,nan,nan
new_empty_strided.default,new_empty_strided,3,3,0,1.0,0.0,0.0,,nan,nan,0.125,0.0009765627328306437
new_full.default,new_full,8,8,0,1.0,0.0,0.0,,nan,nan,0.0,0.0
bernoulli.default,bernoulli,2,1,1,0.5,0.0,0.0,,nan,nan,1.0,1.0
scatter_add.default,scatter_add,7,7,0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0
stack.default,stack,9,9,0,1.0,0.0,0.0,,nan,nan,0.0,0.0
_chunk_cat.default,_chunk_cat,6,6,0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0
cat.default,cat,11,11,0,1.0,0.0,0.0,,nan,nan,0.0,0.0
hypot.default,hypot,9,9,0,1.0,0.0,0.0,,nan,nan,0.0,0.0
bucketize.Tensor,bucketize,24,24,0,1.0,0.0,0.0,,nan,nan,0.0,0.0
searchsorted.Tensor,searchsorted,200,200,0,1.0,0.0,0.0,,nan,nan,nan,nan
searchsorted.Scalar,searchsorted,24,24,0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0
unbind.int,unbind,6,6,0,1.0,0.0,0.0,,nan,nan,0.0,0.0
unbind_copy.int,unbind_copy,6,6,0,1.0,0.0,0.0,,nan,nan,0.0,0.0
unfold.default,unfold,22,22,0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0
unfold_copy.default,unfold_copy,22,22,0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0
renorm.default,renorm,4,4,0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0
repeat.default,repeat,80,80,0,1.0,0.0,0.0,,nan,nan,0.0,0.0
squeeze.default,squeeze,2,2,0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0
squeeze.dim,squeeze,6,6,0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0
squeeze.dims,squeeze,6,6,0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0
squeeze_copy.default,squeeze_copy,2,2,0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0
squeeze_copy.dim,squeeze_copy,6,6,0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0
fill.Scalar,fill,3,3,0,1.0,0.0,0.0,,nan,nan,0.0,0.0
unsqueeze.default,unsqueeze,9,9,0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0
unsqueeze_copy.default,unsqueeze_copy,9,9,0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0
xlogy.Tensor,xlogy,9,9,0,1.0,0.0,0.0,,nan,nan,0.0,0.0
logsumexp.default,logsumexp,5,5,0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0
trace.default,trace,1,1,0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0
transpose.int,transpose,8,8,0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0
transpose_copy.int,transpose_copy,8,8,0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0
tril.default,tril,7,7,0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0
triu.default,triu,7,7,0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0
_to_sparse.default,_to_sparse,1,1,0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0
_to_sparse.sparse_dim,_to_sparse,1,1,0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0
logcumsumexp.default,logcumsumexp,3,3,0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0
sigmoid.default,sigmoid,3,3,0,1.0,0.0,0.0,,nan,nan,0.0,0.0
digamma.default,digamma,3,3,0,1.0,0.0,0.0,,nan,nan,0.0,0.0
erf.default,erf,1,1,0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0
erfc.default,erfc,3,3,0,1.0,0.0,0.0,,nan,nan,0.0,0.0
erfinv.default,erfinv,1,1,0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0
smooth_l1_loss.default,smooth_l1_loss,4,4,0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0
lgamma.default,lgamma,3,3,0,1.0,0.0,0.0,,nan,nan,0.0,0.0
logit.default,logit,4,4,0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0
linalg_vector_norm.default,linalg_vector_norm,43,43,0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0
t.default,t,3,3,0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0
t_copy.default,t_copy,3,3,0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0
native_dropout_backward.default,native_dropout_backward,9,9,0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0
embedding.default,embedding,7,7,0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0
softplus.default,softplus,3,3,0,1.0,0.0,0.0,,nan,nan,0.0,0.0
mse_loss.default,mse_loss,3,3,0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0
grid_sampler_2d.default,grid_sampler_2d,18,18,0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0
nonzero.default,nonzero,6,6,0,1.0,0.0,0.0,,nan,nan,0.0,0.0
all.default,all,4,4,0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0
all.dim,all,9,9,0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0
all.dims,all,7,7,0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0
any.default,any,4,4,0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0
any.dim,any,9,9,0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0
any.dims,any,7,7,0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0
amax.default,amax,20,20,0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0
amin.default,amin,20,20,0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0
argmax.default,argmax,13,13,0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0
argmin.default,argmin,13,13,0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0
count_nonzero.default,count_nonzero,13,13,0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0
