op_name,is_core,is_in_opinfo,is_in_torchbench
_embedding_bag_sparse_backward,No,No,No
_empty_affine_quantized,No,No,No
_empty_per_channel_affine_quantized,No,No,No
_euclidean_dist,No,Yes,No
_fake_quantize_learnable_per_channel_affine,No,No,No
_fake_quantize_learnable_per_channel_affine_backward,No,No,No
_fake_quantize_learnable_per_tensor_affine,No,No,No
_fake_quantize_learnable_per_tensor_affine_backward,No,No,No
_fake_quantize_per_tensor_affine_cachemask_tensor_qparams,No,No,No
_fft_c2c,No,No,No
_fft_c2r,No,No,No
_fft_r2c,Yes,Yes,No
_fill_mem_eff_dropout_mask_,No,No,No
_flash_attention_backward,No,No,No
_flash_attention_forward,No,No,No
_foobar,No,No,No
_foreach_abs,No,No,No
_foreach_abs_,No,No,No
_foreach_acos,No,No,No
_foreach_acos_,No,No,No
_foreach_add,No,No,No
_foreach_add_,No,No,No
_foreach_addcdiv,No,No,No
_foreach_addcdiv_,No,No,No
_foreach_addcmul,No,No,No
_foreach_addcmul_,No,No,No
_foreach_asin,No,No,No
_foreach_asin_,No,No,No
_foreach_atan,No,No,No
_foreach_atan_,No,No,No
_foreach_ceil,No,No,No
_foreach_ceil_,No,No,No
_foreach_clamp_max,No,No,No
_foreach_clamp_max_,No,No,No
_foreach_clamp_min,No,No,No
_foreach_clamp_min_,No,No,No
_foreach_copy,No,No,No
_foreach_copy_,No,No,No
_foreach_cos,No,No,No
_foreach_cos_,No,No,No
_foreach_cosh,No,No,No
_foreach_cosh_,No,No,No
_foreach_div,No,No,No
_foreach_div_,No,No,No
_foreach_erf,No,No,No
_foreach_erf_,No,No,No
_foreach_erfc,No,No,No
_foreach_erfc_,No,No,No
_foreach_exp,No,No,No
_foreach_exp_,No,No,No
_foreach_expm1,No,No,No
_foreach_expm1_,No,No,No
_foreach_floor,No,No,No
_foreach_floor_,No,No,No
_foreach_frac,No,No,No
_foreach_frac_,No,No,No
_foreach_lerp,No,No,No
_foreach_lerp_,No,No,No
_foreach_lgamma,No,No,No
_foreach_lgamma_,No,No,No
_foreach_log,No,No,No
_foreach_log10,No,No,No
_foreach_log10_,No,No,No
_foreach_log1p,No,No,No
_foreach_log1p_,No,No,No
_foreach_log2,No,No,No
_foreach_log2_,No,No,No
_foreach_log_,No,No,No
_foreach_max,No,No,No
_foreach_maximum,No,No,No
_foreach_maximum_,No,No,No
_foreach_minimum,No,No,No
_foreach_minimum_,No,No,No
_foreach_mul,No,No,No
_foreach_mul_,No,No,No
_foreach_neg,No,No,No
_foreach_neg_,No,No,No
_foreach_norm,No,No,No
_foreach_pow,No,No,No
_foreach_pow_,No,No,No
_foreach_reciprocal,No,No,No
_foreach_reciprocal_,No,No,No
_foreach_round,No,No,No
_foreach_round_,No,No,No
_foreach_rsqrt,No,No,No
_foreach_rsqrt_,No,No,No
_foreach_sigmoid,No,No,No
_foreach_sigmoid_,No,No,No
_foreach_sign,No,No,No
_foreach_sign_,No,No,No
_foreach_sin,No,No,No
_foreach_sin_,No,No,No
_foreach_sinh,No,No,No
_foreach_sinh_,No,No,No
_foreach_sqrt,No,No,No
_foreach_sqrt_,No,No,No
_foreach_sub,No,No,No
_foreach_sub_,No,No,No
_foreach_tan,No,No,No
_foreach_tan_,No,No,No
_foreach_tanh,No,No,No
_foreach_tanh_,No,No,No
_foreach_trunc,No,No,No
_foreach_trunc_,No,No,No
_foreach_zero_,No,No,No
_functional_assert_async,No,No,No
_functional_assert_scalar,No,No,No
_functional_sym_constrain_range,No,No,No
_functional_sym_constrain_range_for_size,No,No,No
_fused_adagrad_,No,No,No
_fused_adam_,No,No,No
_fused_adamw_,No,No,No
_fused_dropout,No,No,No
_fused_moving_avg_obs_fq_helper,No,No,No
_fused_rms_norm,No,No,No
_fused_rms_norm_backward,No,No,No
_fused_sdp_choice,No,No,No
_fused_sgd_,No,No,No
_fw_primal,No,No,No
_fw_primal_copy,No,No,No
_gather_sparse_backward,No,No,No
_grid_sampler_2d_cpu_fallback,No,No,No
_grid_sampler_2d_cpu_fallback_backward,No,No,No
_grouped_mm,No,No,No
_has_compatible_shallow_copy_type,No,No,No
_has_same_storage_numel,No,No,No
_histogramdd_bin_edges,No,Yes,No
_histogramdd_from_bin_cts,No,Yes,No
_histogramdd_from_bin_tensors,No,No,No
_index_put_impl_,No,No,No
_indices,No,No,No
_indices_copy,No,No,No
_int_mm,No,No,No
_is_all_true,No,No,No
_is_any_true,No,No,No
_is_zerotensor,No,No,No
_jagged_to_padded_dense_forward,No,No,No
_lazy_clone,No,No,No
_linalg_check_errors,No,No,No
_linalg_det,No,No,No
_linalg_eigh,No,No,No
_linalg_eigvals,No,No,No
_linalg_slogdet,No,Yes,No
_linalg_solve_ex,No,No,No
_linalg_svd,No,Yes,No
_local_scalar_dense,Yes,Yes,No
_log_softmax,Yes,Yes,Yes
_log_softmax_backward_data,No,No,Yes
_logcumsumexp,No,No,No
_lstm_mps,No,No,No
_lu_with_info,No,No,No
_make_dep_token,No,No,No
_make_dual,No,No,No
_make_dual_copy,No,No,No
_make_per_channel_quantized_tensor,No,No,No
_make_per_tensor_quantized_tensor,No,No,No
_masked_scale,No,No,No
_masked_softmax,No,No,No
_masked_softmax_backward,No,No,No
_mixed_dtypes_linear,No,No,No
_mkldnn_reshape,No,No,No
_mkldnn_transpose,No,No,No
_mkldnn_transpose_,No,No,No
_mps_convolution,No,No,No
_mps_convolution_transpose,No,No,No
_native_batch_norm_legit,Yes,Yes,No
_native_batch_norm_legit_no_training,Yes,No,No
_native_multi_head_attention,No,No,No
_neg_view,No,No,No
_neg_view_copy,No,No,No
_nested_compute_contiguous_strides_offsets,No,No,No
_nested_from_padded,No,No,No
_nested_from_padded_and_nested_example,No,No,No
_nested_from_padded_tensor,No,No,No
_nested_get_jagged_dummy,No,No,No
_nested_get_lengths,No,No,No
_nested_get_max_seqlen,No,No,No
_nested_get_min_seqlen,No,No,No
_nested_get_offsets,No,No,No
_nested_get_ragged_idx,No,No,No
_nested_get_values,No,No,No
_nested_get_values_copy,No,No,No
_nested_select_backward,No,No,No
_nested_sum_backward,No,No,No
_nested_tensor_from_mask,No,No,No
_nested_tensor_from_mask_left_aligned,No,No,No
_nested_tensor_from_tensor_list,No,No,No
_nested_tensor_size,No,No,No
_nested_tensor_softmax_with_shape,No,No,No
_nested_tensor_storage_offsets,No,No,No
_nested_tensor_strides,No,No,No
_nested_view_from_buffer,No,No,No
_nested_view_from_buffer_copy,No,No,No
_nested_view_from_jagged,No,No,No
_nested_view_from_jagged_copy,No,No,No
_new_zeros_with_same_feature_meta,No,No,No
_nnpack_available,No,No,No
_nnpack_spatial_convolution,No,No,No
_nnz,No,No,No
_pack_padded_sequence,No,No,No
_pack_padded_sequence_backward,No,No,No
_pad_circular,No,No,No
_pad_enum,No,No,No
_pad_packed_sequence,No,No,No
_padded_dense_to_jagged_forward,No,No,No
_pdist_backward,No,No,No
_pdist_forward,Yes,Yes,No
_pin_memory,No,No,No
_prelu_kernel,No,Yes,No
_prelu_kernel_backward,No,No,No
_print,No,No,No
_propagate_xla_data,No,No,No
_remove_batch_dim,No,No,No
_reshape_alias,No,No,No
_reshape_alias_copy,No,No,No
_reshape_copy,No,No,No
_reshape_from_tensor,No,No,No
_resize_output_,No,No,No
_rowwise_prune,No,No,No
_safe_softmax,No,Yes,No
_sample_dirichlet,No,No,No
_saturate_weight_to_fp16,No,No,No
_scaled_dot_product_attention_math,No,No,No
_scaled_dot_product_attention_math_for_mps,No,No,No
_scaled_dot_product_cudnn_attention,No,No,No
_scaled_dot_product_cudnn_attention_backward,No,No,No
_scaled_dot_product_efficient_attention,No,No,No
_scaled_dot_product_efficient_attention_backward,No,No,No
_scaled_dot_product_flash_attention,No,No,No
_scaled_dot_product_flash_attention_backward,No,No,No
_scaled_dot_product_flash_attention_for_cpu,No,No,No
_scaled_dot_product_flash_attention_for_cpu_backward,No,No,No
_scaled_dot_product_fused_attention_overrideable,No,No,No
_scaled_dot_product_fused_attention_overrideable_backward,No,No,No
_scaled_grouped_mm,No,No,No
_scaled_mm,No,No,No
_segment_reduce_backward,No,No,No
_shape_as_tensor,No,No,No
_slow_conv2d_backward,No,No,No
_slow_conv2d_forward,No,No,No
_sobol_engine_draw,No,No,No
_sobol_engine_ff_,No,No,No
_sobol_engine_initialize_state_,No,No,No
_sobol_engine_scramble_,No,No,No
_softmax,Yes,Yes,Yes
_softmax_backward_data,No,Yes,Yes
_sparse_addmm,No,No,No
_sparse_broadcast_to,No,No,No
_sparse_broadcast_to_copy,No,No,No
_sparse_bsc_tensor_unsafe,No,No,No
_sparse_bsr_tensor_unsafe,No,No,No
_sparse_compressed_tensor_unsafe,No,No,No
_sparse_compressed_tensor_with_dims,No,No,No
_sparse_coo_tensor_unsafe,No,No,No
_sparse_coo_tensor_with_dims,No,No,No
_sparse_coo_tensor_with_dims_and_tensors,No,No,Yes
_sparse_csc_tensor_unsafe,No,No,No
_sparse_csr_prod,No,No,No
_sparse_csr_sum,No,No,No
_sparse_csr_tensor_unsafe,No,No,No
_sparse_log_softmax,No,No,No
_sparse_log_softmax_backward_data,No,No,No
_sparse_mask_projection,No,No,No
_sparse_mm,No,No,No
_sparse_mm_reduce_impl,No,No,No
_sparse_mm_reduce_impl_backward,No,No,No
_sparse_semi_structured_addmm,No,No,No
_sparse_semi_structured_apply,No,No,No
_sparse_semi_structured_apply_dense,No,No,No
_sparse_semi_structured_linear,No,No,No
_sparse_semi_structured_mm,No,No,No
_sparse_semi_structured_tile,No,No,No
_sparse_softmax,No,No,No
_sparse_softmax_backward_data,No,No,No
_sparse_sparse_matmul,No,No,No
_sparse_sum,No,No,No
_sparse_sum_backward,No,No,No
_spdiags,No,No,No
_spsolve,No,No,No
_stack,No,No,No
_standard_gamma,No,No,No
_standard_gamma_grad,No,No,No
_test_ambiguous_defaults,No,No,No
_test_autograd_multiple_dispatch,No,No,No
_test_autograd_multiple_dispatch_view,No,No,No
_test_autograd_multiple_dispatch_view_copy,No,No,No
_test_check_tensor,No,No,No
_test_functorch_fallback,No,No,No
_test_optional_filled_intlist,No,No,No
_test_optional_floatlist,No,No,No
_test_optional_intlist,No,No,No
_test_parallel_materialize,No,No,No
_test_serialization_subcmul,No,No,No
_test_string_default,No,No,No
_test_warn_in_autograd,No,No,No
_thnn_differentiable_gru_cell_backward,No,No,No
_thnn_differentiable_lstm_cell_backward,No,No,No
_thnn_fused_gru_cell,No,No,No
_thnn_fused_gru_cell_backward,No,No,No
_thnn_fused_lstm_cell,No,No,No
_thnn_fused_lstm_cell_backward,No,No,No
_thnn_fused_lstm_cell_backward_impl,No,No,No
_to_copy,Yes,Yes,Yes
_to_cpu,No,No,No
_to_dense,No,No,No
_to_sparse,No,Yes,No
_to_sparse_bsc,No,No,No
_to_sparse_bsr,No,No,No
_to_sparse_csc,No,No,No
_to_sparse_csr,No,No,No
_to_sparse_semi_structured,No,No,No
_transform_bias_rescale_qkv,No,No,No
_transformer_encoder_layer_fwd,No,No,No
_trilinear,No,Yes,No
_triton_multi_head_attention,No,No,No
_triton_scaled_dot_attention,No,No,No
_unique,No,No,No
_unique2,No,No,No
_unpack_dual,No,No,No
_unsafe_index,No,No,No
_unsafe_index_put,No,No,No
_unsafe_masked_index,No,Yes,No
_unsafe_masked_index_put_accumulate,No,Yes,No
_unsafe_view,No,Yes,Yes
_upsample_bicubic2d_aa,No,No,No
_upsample_bicubic2d_aa_backward,No,No,No
_upsample_bilinear2d_aa,No,Yes,No
_upsample_bilinear2d_aa_backward,No,No,No
_upsample_nearest_exact1d,No,No,No
_upsample_nearest_exact1d_backward,No,No,No
_upsample_nearest_exact2d,No,No,No
_upsample_nearest_exact2d_backward,No,No,No
_upsample_nearest_exact3d,No,No,No
_upsample_nearest_exact3d_backward,No,No,No
_use_cudnn_ctc_loss,No,No,No
_use_cudnn_rnn_flatten_weight,No,No,No
_validate_compressed_sparse_indices,No,No,No
_validate_sparse_bsc_tensor_args,No,No,No
_validate_sparse_bsr_tensor_args,No,No,No
_validate_sparse_compressed_tensor_args,No,No,No
_validate_sparse_coo_tensor_args,No,No,No
_validate_sparse_csc_tensor_args,No,No,No
_validate_sparse_csr_tensor_args,No,No,No
_values,No,No,No
_values_copy,No,No,No
_version,No,No,No
_weight_int4pack_mm,No,No,No
_weight_int4pack_mm_for_cpu,No,No,No
_weight_int4pack_mm_with_scales_and_zeros,No,No,No
_weight_int8pack_mm,No,No,No
_weight_norm,No,No,No
_weight_norm_differentiable_backward,No,No,No
_weight_norm_interface,No,No,No
_weight_norm_interface_backward,No,No,No
_wrapped_linear_prepack,No,No,No
_wrapped_quantized_linear_prepacked,No,No,No
abs,Yes,Yes,Yes
abs_,No,No,No
absolute,No,No,No
absolute_,No,No,No
acos,Yes,Yes,No
acos_,No,No,No
acosh,Yes,Yes,No
acosh_,No,No,No
adaptive_avg_pool1d,Yes,No,No
adaptive_avg_pool2d,No,No,No
adaptive_avg_pool3d,No,No,No
adaptive_avg_pool3d_backward,No,No,No
adaptive_max_pool1d,No,No,No
adaptive_max_pool2d,No,Yes,No
adaptive_max_pool2d_backward,No,No,No
adaptive_max_pool3d,No,No,No
adaptive_max_pool3d_backward,No,No,No
add,Yes,Yes,Yes
add_,No,Yes,Yes
addbmm,No,Yes,No
addbmm_,No,No,No
addcdiv,No,Yes,No
addcdiv_,No,No,No
addcmul,No,Yes,Yes
addcmul_,No,No,No
addmm,Yes,Yes,Yes
addmm_,No,No,No
addmv,No,Yes,No
addmv_,No,No,No
addr,No,Yes,No
addr_,No,No,No
adjoint,No,No,No
affine_grid_generator,No,No,No
affine_grid_generator_backward,No,No,No
alias,Yes,Yes,No
alias_copy,No,Yes,No
align_as,No,No,No
align_tensors,No,No,No
align_to,No,No,No
all,No,Yes,No
allclose,No,Yes,No
alpha_dropout,No,No,No
alpha_dropout_,No,No,No
amax,Yes,Yes,No
amin,Yes,Yes,No
aminmax,No,Yes,No
angle,No,Yes,No
any,Yes,Yes,Yes
arange,Yes,Yes,No
arccos,No,No,No
arccos_,No,No,No
arccosh,No,No,No
arccosh_,No,No,No
arcsin,No,No,No
arcsin_,No,No,No
arcsinh,No,No,No
arcsinh_,No,No,No
arctan,No,No,No
arctan2,No,No,No
arctan2_,No,No,No
arctan_,No,No,No
arctanh,No,No,No
arctanh_,No,No,No
argmax,Yes,Yes,No
argmin,Yes,Yes,No
argsort,No,No,No
argwhere,No,No,No
as_strided,Yes,Yes,No
as_strided_,No,No,Yes
as_strided_copy,No,Yes,No
as_strided_scatter,No,Yes,No
asin,Yes,Yes,No
asin_,No,No,No
asinh,Yes,Yes,No
asinh_,No,No,No
atan,Yes,Yes,No
atan2,Yes,Yes,No
atan2_,No,No,No
atan_,No,No,No
atanh,Yes,Yes,No
atanh_,No,No,No
atleast_1d,No,No,No
atleast_2d,No,No,No
atleast_3d,No,No,No
avg_pool1d,Yes,No,No
avg_pool2d,Yes,Yes,Yes
avg_pool2d_backward,Yes,No,Yes
avg_pool3d,Yes,Yes,No
avg_pool3d_backward,No,No,No
baddbmm,No,Yes,No
baddbmm_,No,No,No
bartlett_window,No,No,No
batch_norm,No,No,No
batch_norm_backward,No,No,No
batch_norm_backward_elemt,No,No,No
batch_norm_backward_reduce,No,No,No
batch_norm_elemt,No,No,No
batch_norm_gather_stats,No,No,No
batch_norm_gather_stats_with_counts,No,No,No
batch_norm_stats,No,No,No
batch_norm_update_stats,No,No,No
bernoulli,No,Yes,No
bernoulli_,No,Yes,Yes
bilinear,No,No,No
binary_cross_entropy,No,Yes,No
binary_cross_entropy_backward,No,No,No
binary_cross_entropy_with_logits,No,Yes,No
bincount,No,No,No
binomial,No,No,No
bitwise_and,Yes,Yes,Yes
bitwise_and_,No,Yes,No
bitwise_left_shift,No,No,No
bitwise_left_shift_,No,No,No
bitwise_not,Yes,No,Yes
bitwise_not_,No,No,No
bitwise_or,Yes,No,No
bitwise_or_,No,Yes,No
bitwise_right_shift,No,No,No
bitwise_right_shift_,No,No,No
bitwise_xor,Yes,No,Yes
bitwise_xor_,No,No,No
blackman_window,No,No,No
block_diag,No,No,No
bmm,Yes,Yes,Yes
broadcast_tensors,No,No,No
broadcast_to,No,No,No
bucketize,No,Yes,No
can_cast,No,No,No
cartesian_prod,No,No,No
cat,Yes,Yes,Yes
cauchy_,No,Yes,No
ccol_indices,No,No,No
ccol_indices_copy,No,No,No
cdist,No,No,No
ceil,Yes,Yes,No
ceil_,No,Yes,No
celu,No,Yes,No
celu_,No,No,No
chain_matmul,No,No,No
chalf,No,No,No
channel_shuffle,No,Yes,No
cholesky,No,Yes,No
cholesky_inverse,No,Yes,No
cholesky_solve,No,Yes,No
choose_qparams_optimized,No,No,No
chunk,No,No,No
clamp,Yes,Yes,Yes
clamp_,No,Yes,No
clamp_max,No,Yes,No
clamp_max_,No,No,No
clamp_min,No,Yes,Yes
clamp_min_,No,Yes,No
clip,No,No,No
clip_,No,No,No
clone,Yes,Yes,Yes
coalesce,No,No,No
col2im,Yes,No,Yes
col_indices,No,No,No
col_indices_copy,No,No,No
column_stack,No,No,No
combinations,No,No,No
complex,No,Yes,No
concat,No,No,No
concatenate,No,No,No
conj,No,No,No
conj_physical,No,No,No
conj_physical_,No,No,No
constant_pad_nd,Yes,Yes,Yes
contiguous,No,No,No
conv1d,No,No,No
conv2d,No,No,No
conv3d,No,No,No
conv_depthwise3d,No,No,No
conv_tbc,No,No,No
conv_tbc_backward,No,No,No
conv_transpose1d,No,No,No
conv_transpose2d,No,No,No
conv_transpose3d,No,No,No
convolution,Yes,Yes,Yes
convolution_backward,Yes,No,Yes
convolution_backward_overrideable,No,No,No
convolution_overrideable,No,No,No
copy,Yes,No,No
copy_,No,Yes,Yes
copy_sparse_to_sparse_,No,No,No
copysign,No,Yes,No
copysign_,No,No,No
corrcoef,No,No,No
cos,Yes,Yes,Yes
cos_,No,No,No
cosh,Yes,Yes,No
cosh_,No,No,No
cosine_embedding_loss,No,No,No
cosine_similarity,No,No,No
count_nonzero,No,Yes,No
cov,No,No,No
cross,No,No,No
cross_entropy_loss,No,No,No
crow_indices,No,No,No
crow_indices_copy,No,No,No
ctc_loss,No,No,No
cudnn_affine_grid_generator,No,No,No
cudnn_affine_grid_generator_backward,No,No,No
cudnn_batch_norm,No,No,No
cudnn_batch_norm_backward,No,No,No
cudnn_convolution,No,No,No
cudnn_convolution_add_relu,No,No,No
cudnn_convolution_relu,No,No,No
cudnn_convolution_transpose,No,No,No
cudnn_grid_sampler,No,No,No
cudnn_grid_sampler_backward,No,No,No
cudnn_is_acceptable,No,No,No
cummax,No,Yes,No
cummaxmin_backward,No,No,No
cummin,No,Yes,No
cumprod,No,Yes,No
cumprod_,No,No,No
cumprod_backward,No,No,No
cumsum,Yes,Yes,Yes
cumsum_,No,No,No
cumulative_trapezoid,No,No,No
data,No,No,No
deg2rad,No,Yes,No
deg2rad_,No,No,No
dense_dim,No,No,No
dequantize,No,No,No
det,No,No,No
detach,No,Yes,No
detach_,No,No,No
detach_copy,No,No,No
diag,No,No,No
diag_embed,No,Yes,No
diagflat,No,No,No
diagonal,Yes,Yes,No
diagonal_backward,No,No,No
diagonal_copy,No,Yes,No
diagonal_scatter,No,Yes,No
diff,No,No,No
digamma,No,Yes,No
digamma_,No,No,No
dist,No,Yes,No
div,Yes,Yes,Yes
div_,No,Yes,Yes
divide,No,No,No
divide_,No,No,No
dot,No,Yes,No
dropout,No,No,No
dropout_,No,No,No
dsplit,No,No,No
dstack,No,No,No
einsum,No,No,No
elu,Yes,Yes,Yes
elu_,No,No,No
elu_backward,No,No,Yes
embedding,Yes,Yes,No
embedding_backward,No,No,No
embedding_bag,No,No,No
embedding_dense_backward,Yes,No,No
embedding_renorm_,No,Yes,No
embedding_sparse_backward,No,No,No
empty,Yes,Yes,No
empty_like,No,Yes,No
empty_permuted,No,No,No
empty_quantized,No,No,No
empty_strided,Yes,No,No
eq,Yes,Yes,Yes
eq_,No,No,No
equal,No,Yes,No
erf,Yes,Yes,Yes
erf_,No,No,No
erfc,No,Yes,No
erfc_,No,No,No
erfinv,No,Yes,No
erfinv_,No,No,No
exp,Yes,Yes,Yes
exp2,No,Yes,No
exp2_,No,No,No
exp_,No,No,No
expand,Yes,Yes,No
expand_as,No,No,No
expand_copy,No,Yes,No
expm1,Yes,Yes,No
expm1_,No,No,No
exponential_,No,Yes,No
eye,No,No,No
fake_quantize_per_channel_affine,No,No,No
fake_quantize_per_channel_affine_cachemask,No,No,No
fake_quantize_per_channel_affine_cachemask_backward,No,No,No
fake_quantize_per_tensor_affine,No,No,No
fake_quantize_per_tensor_affine_cachemask,No,No,No
fake_quantize_per_tensor_affine_cachemask_backward,No,No,No
fbgemm_linear_fp16_weight,No,No,No
fbgemm_linear_fp16_weight_fp32_activation,No,No,No
fbgemm_linear_int8_weight,No,No,No
fbgemm_linear_int8_weight_fp32_activation,No,No,No
fbgemm_linear_quantize_weight,No,No,No
fbgemm_pack_gemm_matrix_fp16,No,No,No
fbgemm_pack_quantized_matrix,No,No,No
feature_alpha_dropout,No,No,No
feature_alpha_dropout_,No,No,No
feature_dropout,No,No,No
feature_dropout_,No,No,No
fft_fft,No,No,No
fft_fft2,No,No,No
fft_fftfreq,No,No,No
fft_fftn,No,No,No
fft_fftshift,No,No,No
fft_hfft,No,No,No
fft_hfft2,No,No,No
fft_hfftn,No,No,No
fft_ifft,No,No,No
fft_ifft2,No,No,No
fft_ifftn,No,No,No
fft_ifftshift,No,No,No
fft_ihfft,No,No,No
fft_ihfft2,No,No,No
fft_ihfftn,No,No,No
fft_irfft,No,No,No
fft_irfft2,No,No,No
fft_irfftn,No,No,No
fft_rfft,No,No,No
fft_rfft2,No,No,No
fft_rfftfreq,No,No,No
fft_rfftn,No,No,No
fill,Yes,Yes,No
fill_,No,Yes,Yes
fill_diagonal_,No,No,No
fix,No,No,No
fix_,No,No,No
flatten,No,No,No
flatten_dense_tensors,No,No,No
flip,Yes,Yes,Yes
fliplr,No,No,No
flipud,No,No,No
float_power,No,No,No
float_power_,No,No,No
floor,Yes,Yes,Yes
floor_,No,No,No
floor_divide,No,Yes,Yes
floor_divide_,No,No,No
fmax,No,Yes,No
fmin,No,Yes,No
fmod,Yes,Yes,Yes
fmod_,No,No,No
frac,No,Yes,No
frac_,No,No,No
fractional_max_pool2d,No,Yes,No
fractional_max_pool2d_backward,No,No,No
fractional_max_pool3d,No,Yes,No
fractional_max_pool3d_backward,No,No,No
frexp,No,Yes,No
frobenius_norm,No,No,No
from_file,No,No,No
full,Yes,Yes,No
full_like,Yes,Yes,No
fused_moving_avg_obs_fake_quant,No,No,No
gather,Yes,Yes,No
gather_backward,No,No,No
gcd,No,No,No
gcd_,No,No,No
ge,Yes,Yes,Yes
ge_,No,No,No
gelu,Yes,Yes,Yes
gelu_,No,No,No
gelu_backward,No,No,Yes
geometric_,No,Yes,No
geqrf,No,Yes,No
ger,No,No,No
glu,No,Yes,No
glu_backward,No,No,No
glu_backward_jvp,No,No,No
glu_jvp,No,No,No
gradient,No,No,No
greater,No,No,No
greater_,No,No,No
greater_equal,No,No,No
greater_equal_,No,No,No
grid_sampler,No,No,No
grid_sampler_2d,Yes,Yes,Yes
grid_sampler_2d_backward,No,No,Yes
grid_sampler_3d,No,No,No
grid_sampler_3d_backward,No,No,No
group_norm,No,No,No
gru,No,No,No
gru_cell,No,No,No
gt,Yes,Yes,Yes
gt_,No,No,No
hamming_window,No,No,No
hann_window,No,No,No
hardshrink,No,Yes,No
hardshrink_backward,No,No,No
hardsigmoid,No,Yes,Yes
hardsigmoid_,No,No,No
hardsigmoid_backward,No,No,Yes
hardswish,No,Yes,Yes
hardswish_,No,No,Yes
hardswish_backward,No,No,Yes
hardtanh,Yes,Yes,Yes
hardtanh_,No,No,Yes
hardtanh_backward,No,No,Yes
hash_tensor,No,No,No
heaviside,No,Yes,No
heaviside_,No,No,No
hinge_embedding_loss,No,No,No
histc,No,Yes,No
histogram,No,Yes,No
histogramdd,No,No,No
hsplit,No,No,No
hspmm,No,No,No
hstack,No,No,No
huber_loss,No,No,No
huber_loss_backward,No,No,No
hypot,No,Yes,No
hypot_,No,No,No
i0,No,Yes,No
i0_,No,No,No
igamma,No,Yes,No
igamma_,No,No,No
igammac,No,Yes,No
igammac_,No,No,No
im2col,No,Yes,Yes
imag,No,No,No
index,Yes,Yes,No
index_add,No,Yes,No
index_add_,No,No,No
index_copy,No,Yes,No
index_copy_,No,No,No
index_fill,No,Yes,No
index_fill_,No,No,No
index_put,Yes,Yes,No
index_put_,No,No,No
index_reduce,No,Yes,No
index_reduce_,No,No,No
index_select,Yes,Yes,No
index_select_backward,No,No,No
