operator,total_tests,passed_tests,failed_tests,correctness_rate,avg_speedup,geomean_speedup,mean_absolute_error,mean_relative_error,max_relative_error,max_absolute_error
neg.default,1,0,1,0.0,0.997126042842865,0.997126042842865,0.0,0.0,0.0,0.0
nonzero.default,1,0,1,0.0,0.36661025881767273,0.36661025881767273,0.0,0.0,0.0,0.0
pow.Scalar,1,0,1,0.0,1.9616515636444092,1.9616515636444092,4.656612873077393e-10,1.1927599186112303e-10,1.1927599186112303e-10,4.656612873077393e-10
pow.Tensor_Scalar,1,0,1,0.0,0.5865234136581421,0.5865234136581421,4.0252722101286054e-05,0.0010580376256257296,0.0010580376256257296,4.0252722101286054e-05
reciprocal.default,1,0,1,0.0,1.1601433753967285,1.1601433753967285,5.471520125865936e-08,1.3481992411357169e-08,1.3481992411357169e-08,5.471520125865936e-08
relu.default,1,0,1,0.0,0.993863582611084,0.993863582611084,0.0,0.0,0.0,0.0
relu_.default,1,0,1,0.0,0.9869422912597656,0.9869422912597656,0.0,0.0,0.0,0.0
remainder.Scalar,1,0,1,0.0,1.3754730224609375,1.3754730224609375,0.0,0.0,0.0,0.0
repeat.default,1,0,1,0.0,0.5414159297943115,0.5414159297943115,0.0,0.0,0.0,0.0
rsqrt.default,1,0,1,0.0,1.0161675214767456,1.0161675214767456,nan,nan,nan,nan
sigmoid.default,1,0,1,0.0,1.1607664823532104,1.1607664823532104,1.3136010057479552e-09,2.616979521974372e-09,2.616979521974372e-09,1.3136010057479552e-09
sigmoid_.default,1,0,1,0.0,0.4128747582435608,0.4128747582435608,0.0,0.0,0.0,0.0
sigmoid_backward.default,1,0,1,0.0,0.3989890515804291,0.3989890515804291,1.8409698895993643e-05,0.00021312535682227463,0.00021312535682227463,1.8409698895993643e-05
silu.default,1,0,1,0.0,0.992800772190094,0.992800772190094,0.0,0.0,0.0,0.0
silu_.default,1,0,1,0.0,1.14108145236969,1.14108145236969,0.0,0.0,0.0,0.0
silu_backward.default,1,0,1,0.0,0.9959129095077515,0.9959129095077515,4.083578364344476e-09,1.1199574601050699e-08,1.1199574601050699e-08,4.083578364344476e-09
sin.default,1,0,1,0.0,1.0022650957107544,1.0022650957107544,0.0,0.0,0.0,0.0
stack.default,1,0,1,0.0,0.28835126757621765,0.28835126757621765,0.0,0.0,0.0,0.0
sub.Tensor,1,0,1,0.0,0.996587336063385,0.996587336063385,0.0,0.0,0.0,0.0
sum.dim_IntList,1,0,1,0.0,0.0851268619298935,0.08512686938047409,1.862645149230957e-09,1.1584964931810049e-10,1.1584964931810049e-10,1.862645149230957e-09
sum.default,1,0,1,0.0,1.0752443075180054,1.0752443075180054,nan,nan,nan,nan
tanh.default,1,0,1,0.0,1.0058585405349731,1.0058585405349731,0.0,0.0,0.0,0.0
tanh_backward.default,1,0,1,0.0,0.9811866879463196,0.9811866879463196,6.360027327900752e-05,0.0003690736193675548,0.0003690736193675548,6.360027327900752e-05
threshold_backward.default,1,0,1,0.0,0.9947378635406494,0.9947378635406494,0.0,0.0,0.0,0.0
topk.default,1,0,1,0.0,1.0,1.0,0.0,0.0,0.0,0.0
triu.default,1,0,1,0.0,1.230319619178772,1.230319619178772,0.0,0.0,0.0,0.0
var_mean.correction,1,0,1,0.0,0.2831076979637146,0.2831076979637146,1.0035475561664953e-08,1.2176326436019735e-07,1.2176326436019735e-07,1.0035475561664953e-08
where.self,1,0,1,0.0,0.3851286470890045,0.3851286470890045,0.0,0.0,0.0,0.0
