operator,total_tests,passed_tests,failed_tests,correctness_rate,avg_speedup,geomean_speedup,max_absolute_error,max_relative_error
cat.default,2,1,1,0.5,0.9990247308628519,0.9990247488021851,0.0,0.0
clamp.default,2,1,1,0.5,0.9167570660687543,0.9167570471763611,0.0,0.0
clamp_min.default,2,1,1,0.5,0.9078726105387147,0.9078726172447205,0.0,0.0
clone.default,2,1,1,0.5,0.9982442306778265,0.9982442259788513,0.0,0.0
col2im.default,2,1,1,0.5,0.9998570573435906,0.9998570680618286,0.0,0.0
constant_pad_nd.default,2,1,1,0.5,1.0014581071755386,1.0014580488204956,0.0,0.0
convolution.default,2,1,1,0.5,1.0032209050783814,1.0032209157943726,0.0,0.0
convolution_backward.default,2,1,1,0.5,1.0017480598154067,1.0017480850219727,0.0,0.0
copy_.default,2,1,1,0.5,1.0000362594118932,1.0000362396240234,0.0,0.0
cos.default,2,1,1,0.5,0.8960747870647576,0.8960747718811035,0.0,0.0
cumsum.default,2,1,1,0.5,1.0001081709845978,1.0001081228256226,0.0,0.0
div.Scalar,2,1,1,0.5,0.994424880483862,0.9944248795509338,0.0,0.0
div.Tensor,2,1,1,0.5,0.9992502781540215,0.9992502927780151,0.0,0.0
div_.Tensor,2,1,1,0.5,0.9205574565987873,0.92055743932724,0.0,0.0
elu.default,2,1,1,0.5,0.9977613440102374,0.9977613687515259,0.0,0.0
elu_backward.default,2,1,1,0.5,0.996615183781222,0.9966151714324951,0.0,0.0
eq.Scalar,2,1,1,0.5,0.9988480745424773,0.9988480806350708,0.0,0.0
eq.Tensor,2,1,1,0.5,0.9973278525049097,0.9973278641700745,0.0,0.0
erf.default,2,1,1,0.5,0.9660978515354912,0.9660978317260742,0.0,0.0
exp.default,2,1,1,0.5,1.0201482718918822,1.0201482772827148,0.0,0.0
fill_.Scalar,2,1,1,0.5,0.9023749355419154,0.9023749232292175,0.0,0.0
fill_.Tensor,2,1,1,0.5,0.9224225340274207,0.9224225282669067,0.0,0.0
flip.default,2,1,1,0.5,1.0008824530752098,1.0008825063705444,0.0,0.0
floor.default,2,1,1,0.5,0.9985121604705356,0.9985121488571167,0.0,0.0
floor_divide.default,2,1,1,0.5,1.0539786981845172,1.053978681564331,0.0,0.0
fmod.Scalar,2,1,1,0.5,1.0030350756963824,1.003035068511963,0.0,0.0
ge.Scalar,2,1,1,0.5,1.1021845452551609,1.102184534072876,0.0,0.0
gelu.default,2,1,1,0.5,0.9986680361967708,0.9986680150032043,0.0,0.0
gelu_backward.default,2,1,1,0.5,1.0021243121912156,1.002124309539795,0.0,0.0
grid_sampler_2d.default,2,1,1,0.5,0.9979384973283464,0.9979385137557983,0.0,0.0
grid_sampler_2d_backward.default,2,1,1,0.5,0.9925733536461546,0.9925733804702759,0.0,0.0
gt.Scalar,2,1,1,0.5,0.9062359299393152,0.906235933303833,0.0,0.0
gt.Tensor,2,1,1,0.5,0.946808327520835,0.9468083381652832,0.0,0.0
hardsigmoid.default,2,1,1,0.5,0.9980211746942462,0.9980211853981018,0.0,0.0
hardsigmoid_backward.default,2,1,1,0.5,1.0016941119581257,1.0016940832138062,0.0,0.0
hardswish.default,2,1,1,0.5,0.9850321323637544,0.9850321412086487,0.0,0.0
hardswish_.default,2,1,1,0.5,0.9965000731182114,0.9965000748634338,0.0,0.0
hardswish_backward.default,2,1,1,0.5,1.0031428120688182,1.0031428337097168,0.0,0.0
hardtanh.default,2,1,1,0.5,0.9932610617809754,0.9932610392570496,0.0,0.0
hardtanh_.default,2,1,1,0.5,1.0003285409480676,1.000328540802002,0.0,0.0
hardtanh_backward.default,2,1,1,0.5,0.999124419162185,0.9991244077682495,0.0,0.0
im2col.default,2,1,1,0.5,1.0035345733722567,1.0035345554351807,0.0,0.0
isinf.default,2,1,1,0.5,1.0018726761196635,1.0018726587295532,0.0,0.0
isnan.default,2,1,1,0.5,0.9663590103599597,0.96635901927948,0.0,0.0
le.Scalar,2,1,1,0.5,0.9990048497427364,0.9990048408508301,0.0,0.0
leaky_relu.default,2,1,1,0.5,1.0117686205225291,1.0117685794830322,0.0,0.0
leaky_relu_.default,2,1,1,0.5,0.9996213706674605,0.9996213912963867,0.0,0.0
leaky_relu_backward.default,2,1,1,0.5,1.0014003035789496,1.001400351524353,0.0,0.0
lift_fresh_copy.default,2,1,1,0.5,1.0005948582687392,1.0005948543548584,0.0,0.0
log2.default,2,1,1,0.5,1.1045612835856535,1.1045613288879395,0.0,0.0
logical_and_.default,2,1,1,0.5,1.0000627915584095,1.0000628232955933,0.0,0.0
lt.Scalar,2,1,1,0.5,0.904459019057349,0.9044589996337891,0.0,0.0
lt.Tensor,2,1,1,0.5,0.9961041844513718,0.9961041808128357,0.0,0.0
masked_fill.Scalar,2,1,1,0.5,0.9990388236641917,0.999038815498352,0.0,0.0
masked_fill.Tensor,2,1,1,0.5,0.999837481369136,0.9998374581336975,0.0,0.0
masked_fill_.Scalar,2,1,1,0.5,1.0102061892364476,1.0102062225341797,0.0,0.0
max.default,2,1,1,0.5,0.9594811709557874,0.9594811797142029,0.0,0.0
max.dim,2,1,1,0.5,1.0000061593206209,1.0000061988830566,0.0,0.0
max_pool2d_with_indices.default,2,1,1,0.5,1.0002641885246264,1.0002641677856445,0.0,0.0
max_pool2d_with_indices_backward.default,2,1,1,0.5,1.0000232883834514,1.0000232458114624,0.0,0.0
maximum.default,2,1,1,0.5,1.042610888692886,1.0426108837127686,0.0,0.0
mean.default,2,1,1,0.5,0.998482666806069,0.9984826445579529,0.0,0.0
mean.dim,2,1,1,0.5,1.0001288490659055,1.0001288652420044,0.0,0.0
min.default,2,1,1,0.5,0.9285428937201696,0.9285429120063782,0.0,0.0
minimum.default,2,1,1,0.5,0.9563891354854203,0.9563891291618347,0.0,0.0
mm.default,2,1,1,0.5,0.9873365812145911,0.9873365759849548,0.0,0.0
mse_loss.default,2,1,1,0.5,1.0024612753043405,1.002461314201355,0.0,0.0
mse_loss_backward.default,2,1,1,0.5,1.0024536543921676,1.0024536848068237,0.0,0.0
mul.Scalar,2,1,1,0.5,0.9980848808352055,0.9980849027633667,0.0,0.0
mul.Tensor,2,1,1,0.5,0.9964989046074282,0.9964988827705383,0.0,0.0
mul_.Tensor,2,1,1,0.5,0.9995820952977563,0.9995821118354797,0.0,0.0
native_batch_norm.default,2,1,1,0.5,0.9993044525987047,0.999304473400116,0.0,0.0
native_batch_norm_backward.default,2,1,1,0.5,1.0005541376079405,1.000554084777832,-inf,-inf
native_group_norm.default,2,1,1,0.5,0.9993629206773138,0.9993629455566406,0.0,0.0
native_group_norm_backward.default,2,1,1,0.5,1.0060340782941002,1.0060341358184814,0.0,0.0
native_layer_norm.default,2,1,1,0.5,1.0003365857547215,1.0003365278244019,0.0,0.0
ne.Scalar,2,1,1,0.5,1.0978066628741783,1.097806692123413,0.0,0.0
neg.default,2,1,1,0.5,0.9961576993845418,0.996157705783844,0.0,0.0
new_full.default,2,1,1,0.5,0.9725249802620854,0.9725250005722046,0.0,0.0
new_ones.default,2,1,1,0.5,1.1135773968804892,1.1135773658752441,0.0,0.0
new_zeros.default,2,1,1,0.5,1.0164902543563574,1.0164902210235596,0.0,0.0
nonzero.default,2,1,1,0.5,0.9837402176593839,0.9837402105331421,0.0,0.0
norm.ScalarOpt_dim,2,1,1,0.5,1.001019209857339,1.0010192394256592,0.0,0.0
pow.Scalar,2,1,1,0.5,1.00150237526353,1.0015023946762085,0.0,0.0
pow.Tensor_Scalar,2,1,1,0.5,0.9986960279660797,0.9986960291862488,0.0,0.0
reciprocal.default,2,1,1,0.5,0.8933414767271297,0.8933414816856384,0.0,0.0
reflection_pad2d.default,2,1,1,0.5,1.0020058675332724,1.0020058155059814,0.0,0.0
reflection_pad2d_backward.default,2,1,1,0.5,1.0000632811665355,1.0000633001327515,0.00390625,0.0015337422955781221
relu.default,2,1,1,0.5,1.003323919974279,1.0033239126205444,0.0,0.0
relu_.default,2,1,1,0.5,1.0002873702199604,1.000287413597107,0.0,0.0
remainder.Scalar,2,1,1,0.5,1.069967642594311,1.0699676275253296,0.0,0.0
repeat.default,2,1,1,0.5,0.999688839266431,0.9996888637542725,0.0,0.0
roll.default,2,1,1,0.5,1.0012538669283655,1.0012538433074951,0.0,0.0
round.default,2,1,1,0.5,1.1113513715998566,1.1113513708114624,0.0,0.0
rsqrt.default,2,1,1,0.5,0.998135363046163,0.9981353878974915,nan,nan
rsub.Scalar,2,1,1,0.5,1.027709465972503,1.0277094841003418,0.0,0.0
select_backward.default,2,1,1,0.5,1.0005001622976724,1.000500202178955,0.0,0.0
sgn.default,2,1,1,0.5,0.9555502299945338,0.9555502533912659,0.0,0.0
sigmoid.default,2,1,1,0.5,0.9968084496954982,0.9968084692955017,0.0,0.0
sigmoid_.default,2,1,1,0.5,0.9855655015184095,0.9855654835700989,0.0,0.0
sigmoid_backward.default,2,1,1,0.5,0.9994658074559204,0.999465823173523,0.0,0.0
silu.default,2,1,1,0.5,0.9965135581264626,0.9965135455131531,0.0,0.0
silu_.default,2,1,1,0.5,1.0004448847337644,1.0004448890686035,0.0,0.0
silu_backward.default,2,1,1,0.5,0.9985384200330487,0.9985384345054626,0.0,0.0
sin.default,2,1,1,0.5,1.03302991575623,1.0330299139022827,0.0,0.0
slice_backward.default,2,1,1,0.5,1.0007021103475313,1.000702142715454,0.0,0.0
split.Tensor,2,1,1,0.5,0.9976678988484713,0.9976679086685181,0.0,0.0
split_with_sizes.default,2,1,1,0.5,1.0010978730719404,1.0010979175567627,0.0,0.0
sqrt.default,2,1,1,0.5,0.9801311032479875,0.9801310896873474,0.0,0.0
stack.default,2,1,1,0.5,1.0134584970347829,1.013458490371704,0.0,0.0
std.correction,2,1,1,0.5,1.0006781186554712,1.0006780624389648,0.0,0.0
sub.Tensor,2,1,1,0.5,1.0030623098998768,1.00306236743927,0.0,0.0
sum.dim_IntList,2,1,1,0.5,1.003003340977943,1.0030033588409424,0.0,0.0
sum.default,2,1,1,0.5,1.0005389035840893,1.000538945198059,nan,nan
tanh.default,2,1,1,0.5,0.9976999664387883,0.9976999759674072,0.0,0.0
tanh_backward.default,2,1,1,0.5,1.006349907908009,1.0063499212265015,0.0,0.0
threshold_backward.default,2,1,1,0.5,1.0001391145450067,1.0001391172409058,0.0,0.0
topk.default,2,1,1,0.5,0.9966613120423603,0.9966613054275513,0.0,0.0
tril.default,2,1,1,0.5,1.0011065937628576,1.0011066198349,0.0,0.0
triu.default,2,1,1,0.5,1.000488031286581,1.000488042831421,0.0,0.0
unbind.int,2,1,1,0.5,1.00040661662693,1.0004066228866577,0.0,0.0
unfold_backward.default,2,1,1,0.5,1.0042725779498767,1.0042725801467896,0.0,0.0
unsqueeze_.default,2,1,1,0.5,0.0,0.0,0.0,0.0
upsample_bicubic2d.vec,2,1,1,0.5,1.0008539306815385,1.0008538961410522,0.0,0.0
upsample_bilinear2d.vec,2,1,1,0.5,0.9996829361632181,0.9996829628944397,0.0,0.0
upsample_nearest2d.vec,2,1,1,0.5,1.0011458892229592,1.001145839691162,0.0,0.0
var_mean.correction,2,1,1,0.5,0.9906037529475584,0.9906037449836731,0.0,0.0
where.self,2,1,1,0.5,1.0033989383446635,1.0033988952636719,0.0,0.0
