operator,total_tests,passed_tests,failed_tests,correctness_rate,avg_speedup,geomean_speedup,mean_absolute_error,mean_relative_error,max_relative_error,max_absolute_error
soft_margin_loss.default,3,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
multi_margin_loss.default,7,0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
leaky_relu.default,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
avg_pool2d.default,7,0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
glu.default,46,0,46,0.0,0.0,0.0,nan,nan,0.0,0.0
elu.default,4,0,4,0.0,0.0,0.0,nan,nan,0.0,0.0
_prelu_kernel.default,3,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
celu.default,3,0,3,0.0,0.0,0.0,nan,nan,0.0,0.0
silu.default,3,0,3,0.0,0.0,0.0,nan,nan,0.0,0.0
hardsigmoid.default,3,0,3,0.0,0.0,0.0,nan,nan,0.0,0.0
mish.default,3,0,3,0.0,0.0,0.0,nan,nan,0.0,0.0
threshold.default,4,0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nextafter.default,9,0,9,0.0,0.0,0.0,nan,nan,0.0,0.0
topk.default,14,0,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0
binary_cross_entropy.default,5,0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
softshrink.default,5,0,5,0.0,0.0,0.0,nan,nan,0.0,0.0
hardshrink.default,6,0,6,0.0,0.0,0.0,nan,nan,0.0,0.0
hardtanh.default,6,0,6,0.0,0.0,0.0,nan,nan,0.0,0.0
gelu.default,2,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mode.default,7,0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mvlgamma.default,30,0,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ne.Tensor,9,0,9,0.0,0.0,0.0,nan,nan,0.0,0.0
slice.Tensor,6,0,6,0.0,0.0,0.0,nan,nan,nan,nan
narrow_copy.default,5,0,5,0.0,0.0,0.0,nan,nan,0.0,0.0
view_copy.default,7,0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
neg.default,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dist.default,50,0,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0
permute.default,4,0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
permute_copy.default,4,0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pow.Tensor_Tensor,10,0,10,0.0,0.0,0.0,nan,nan,0.0,0.0
rad2deg.default,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
roll.default,2,0,2,0.0,0.0,0.0,nan,nan,nan,nan
rot90.default,34,0,34,0.0,0.0,0.0,0.0,0.0,0.0,0.0
round.default,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
round.decimals,9,0,9,0.0,0.0,0.0,nan,nan,0.0,0.0
sin.default,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sinc.default,3,0,3,0.0,0.0,0.0,nan,nan,0.0,0.0
sinh.default,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sign.default,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sgn.default,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
split.Tensor,2,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
split_with_sizes.default,7,0,7,0.0,0.0,0.0,nan,nan,0.0,0.0
unsafe_split.Tensor,2,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
split_with_sizes_copy.default,4,0,4,0.0,0.0,0.0,nan,nan,0.0,0.0
rsub.Tensor,20,0,20,0.0,0.0,0.0,nan,nan,0.0,0.0
select.int,5,0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
select_scatter.default,5,0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
slice_scatter.default,9,0,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
signbit.default,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tan.default,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tanh.default,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
trunc.default,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
exp2.default,3,0,3,0.0,0.0,0.0,nan,nan,0.0,0.0
expm1.default,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nan_to_num.default,3,0,3,0.0,0.0,0.0,nan,nan,0.0,0.0
reciprocal.default,3,0,3,0.0,0.0,0.0,nan,nan,0.0,0.0
rsqrt.default,3,0,3,0.0,0.0,0.0,nan,nan,0.0,0.0
sqrt.default,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lerp.Scalar,7,0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lerp.Tensor,7,0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
isinf.default,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
isposinf.default,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
isneginf.default,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
isnan.default,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
view.default,14,0,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gather.default,6,0,6,0.0,0.0,0.0,nan,nan,0.0,0.0
index_fill.int_Scalar,3,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
index_fill.int_Tensor,3,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
index_copy.default,3,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
index_select.default,3,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
index_add.default,9,0,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
index_reduce.default,32,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0
_unsafe_masked_index.default,3,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
_unsafe_masked_index_put_accumulate.default,3,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
index_put.default,4,0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sort.default,19,0,19,0.0,0.0,0.0,nan,nan,0.0,0.0
sort.stable,3,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unique_dim.default,34,0,34,0.0,0.0,0.0,nan,nan,0.0,0.0
unique_consecutive.default,22,0,22,0.0,0.0,0.0,nan,nan,0.0,0.0
put.default,26,0,26,0.0,0.0,0.0,nan,nan,0.0,0.0
take.default,9,0,9,0.0,0.0,0.0,nan,nan,0.0,0.0
scatter.src,7,0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
scatter.reduce,14,0,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0
scatter.value,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
scatter.value_reduce,2,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
_to_copy.default,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
empty_like.default,3,0,3,0.0,0.0,0.0,nan,nan,0.0,0.0
zeros_like.default,8,0,8,0.0,0.0,0.0,nan,nan,0.0,0.0
ones_like.default,8,0,8,0.0,0.0,0.0,nan,nan,0.0,0.0
randn_like.default,2,0,2,0.0,0.0,0.0,nan,nan,nan,nan
randint.default,1,0,1,0.0,0.0,0.0,nan,nan,nan,nan
randint.low,1,0,1,0.0,0.0,0.0,nan,nan,nan,nan
randint_like.default,1,0,1,0.0,0.0,0.0,nan,nan,nan,nan
randint_like.low_dtype,1,0,1,0.0,0.0,0.0,nan,nan,nan,nan
full_like.default,8,0,8,0.0,0.0,0.0,nan,nan,0.0,0.0
new_zeros.default,8,0,8,0.0,0.0,0.0,nan,nan,0.0,0.0
new_ones.default,8,0,8,0.0,0.0,0.0,nan,nan,0.0,0.0
ones.default,2,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
zeros.default,2,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
full.default,4,0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
new_empty.default,4,0,4,0.0,0.0,0.0,nan,nan,nan,nan
new_empty_strided.default,3,0,3,0.0,0.0,0.0,nan,nan,25000000.0,0.0024999999441206455
new_full.default,8,0,8,0.0,0.0,0.0,nan,nan,0.0,0.0
bernoulli.default,2,0,2,0.0,0.0,0.0,nan,nan,1.0,1.0
scatter_add.default,7,0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stack.default,9,0,9,0.0,0.0,0.0,nan,nan,0.0,0.0
_chunk_cat.default,6,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cat.default,11,0,11,0.0,0.0,0.0,nan,nan,0.0,0.0
hypot.default,9,0,9,0.0,0.0,0.0,nan,nan,0.0,0.0
bucketize.Tensor,24,0,24,0.0,0.0,0.0,nan,nan,0.0,0.0
searchsorted.Tensor,200,0,200,0.0,0.0,0.0,nan,nan,nan,nan
searchsorted.Scalar,24,0,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unbind.int,6,0,6,0.0,0.0,0.0,nan,nan,0.0,0.0
unbind_copy.int,6,0,6,0.0,0.0,0.0,nan,nan,0.0,0.0
unfold.default,22,0,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unfold_copy.default,22,0,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0
renorm.default,4,0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
repeat.default,80,0,80,0.0,0.0,0.0,nan,nan,0.0,0.0
squeeze.default,2,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
squeeze.dim,6,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
squeeze.dims,6,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
squeeze_copy.default,2,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
squeeze_copy.dim,6,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fill.Scalar,3,0,3,0.0,0.0,0.0,nan,nan,0.0,0.0
unsqueeze.default,9,0,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unsqueeze_copy.default,9,0,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xlogy.Tensor,9,0,9,0.0,0.0,0.0,nan,nan,0.0,0.0
logsumexp.default,5,0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
trace.default,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
transpose.int,8,0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
transpose_copy.int,8,0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tril.default,7,0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
triu.default,7,0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
_to_sparse.default,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
_to_sparse.sparse_dim,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
logcumsumexp.default,3,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sigmoid.default,3,0,3,0.0,0.0,0.0,nan,nan,0.0,0.0
digamma.default,3,0,3,0.0,0.0,0.0,nan,nan,0.0,0.0
erf.default,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
erfc.default,3,0,3,0.0,0.0,0.0,nan,nan,0.0,0.0
erfinv.default,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
smooth_l1_loss.default,4,0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lgamma.default,3,0,3,0.0,0.0,0.0,nan,nan,0.0,0.0
logit.default,4,0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
linalg_vector_norm.default,43,0,43,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t.default,3,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_copy.default,3,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
native_dropout_backward.default,9,0,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
embedding.default,7,0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
softplus.default,3,0,3,0.0,0.0,0.0,nan,nan,0.0,0.0
mse_loss.default,3,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
grid_sampler_2d.default,18,0,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nonzero.default,6,0,6,0.0,0.0,0.0,nan,nan,0.0,0.0
all.default,4,0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all.dim,9,0,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all.dims,7,0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
any.default,4,0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
any.dim,9,0,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
any.dims,7,0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
amax.default,20,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0
amin.default,20,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0
argmax.default,13,0,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0
argmin.default,13,0,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0
count_nonzero.default,13,0,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0
count_nonzero.dim_IntList,7,0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mean.default,4,0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mean.dim,16,0,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0
std.correction,8,0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
var.correction,8,0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
prod.default,6,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
prod.dim_int,18,0,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sum.default,4,0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sum.dim_IntList,16,0,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nansum.default,29,0,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pixel_shuffle.default,5,0,5,0.0,0.0,0.0,nan,nan,0.0,0.0
pixel_unshuffle.default,5,0,5,0.0,0.0,0.0,nan,nan,0.0,0.0
channel_shuffle.default,3,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
scatter_reduce.two,70,0,70,0.0,0.0,0.0,0.0,0.0,0.0,0.0
segment_reduce.default,120,0,120,0.0,0.0,0.0,0.0,0.0,0.0,0.0
